ID	TIMESTAMP	DIA	MES	AÑO	ESTADO	Municipio	DE	PF	MIF	MAF	PFF	AFIF	PEF	PMF	PMUF	AMPF	DOF	CIF	PL	MIL	MAL	PFL	AFIFL	PEL	PML	PMUL	AMPL	DOL	CIL	ARL	ARC	CARG	CART	VE	AC	AP	DEL	TOR	DTRA	PRE	FCRU	ELE	TAX	DRO	VEH	VAL
69	1189141210	7	9	2007	20	67	9999	1	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	5	9999	9999	9999	9999	9999	9999	5	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	233	0	1	0	0	0	0	0
70	1189227610	8	9	2007	26	30	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	1	1	1	0	234	0	0	0	0	0	0	0
71	1189486810	11	9	2007	19	39	11	3	9999	9999	9999	3	9999	9999	9999	9999	9999	9999	3	9999	9999	9999	3	9999	9999	9999	9999	9999	9999	1	4	9999	9999	3	0	0	0	0	237	0	0	0	0	0	1	1
72	1189573210	12	9	2007	12	55	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	0	0	0	0	238	0	1	0	0	0	0	1
73	1189746010	14	9	2007	10	5	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	9999	0	0	0	0	240	0	1	0	0	0	1	0
74	1190178010	19	9	2007	10	23	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	2	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	0	0	0	0	245	0	1	0	0	0	0	1
75	1190437210	22	9	2007	11	7	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	248	0	1	0	0	0	0	0
76	1190610010	24	9	2007	19	6	9	1	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	6	1	49	1611	4	0	0	0	0	250	0	0	0	0	0	0	1
77	1190696410	25	9	2007	1	2	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	0	0	0	0	251	0	0	0	0	0	0	0
78	1190782810	26	9	2007	5	30	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	3	9999	3	0	0	0	0	252	0	1	0	0	0	0	0
79	1190955610	28	9	2007	26	18	2	1	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	254	0	1	0	0	0	1	0
80	1191474010	4	10	2007	17	15	9999	2	9999	9999	9999	9999	9999	9999	1	9999	1	9999	2	9999	9999	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	260	0	1	0	0	0	1	0
81	1191560410	5	10	2007	28	38	7	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	3	2	39	9999	9	0	0	0	0	261	0	1	0	0	1	0	0
82	1191819610	8	10	2007	28	17	9999	3	9999	9999	9999	9999	9999	9999	9999	9999	9999	3	5	9999	9999	9999	9999	9999	9999	9999	9999	9999	5	9999	9999	9999	9999	9999	0	0	0	0	264	0	0	0	0	0	0	0
83	1192510810	16	10	2007	28	1	3	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	2	4	61	5370	3	0	0	0	0	272	0	1	0	0	0	1	1
