"","muncode","year","name1","name2","lastn1","lastn2","party_mixed","fed_party"
"9512",20181,"2012","DIEGO","MOISES","MORALES","CALDERON","PAN",1
"9513",20181,"2013","DIEGO","MOISES","MORALES","CALDERON","PAN",0
"9514",20182,"2006","TERESO","GONZALEZ","AGUSTIN"," VILLAGÓMEZ","OTHER",0
"9515",20182,"2007","TERESO","GONZALEZ","AGUSTIN"," VILLAGÓMEZ","OTHER",0
"9516",20182,"2008","EUTACIO","GARCIA","HERNANDEZ"," VILLAGÓMEZ","PRI",0
"9517",20182,"2009","EUTACIO","GARCIA","HERNANDEZ"," VILLAGÓMEZ","PRI",0
"9518",20182,"2010","EUTACIO","GARCIA","HERNANDEZ"," VILLAGÓMEZ","PRI",0
"9519",20182,"2011","DANIEL","REGULES","FELIX"," VILLAGÓMEZ","PRI",0
"9520",20182,"2012","DANIEL","REGULES","FELIX"," VILLAGÓMEZ","PRI",0
"9521",20182,"2013","DANIEL","REGULES","FELIX"," VILLAGÓMEZ","PRI",1
"9522",20183,"2006","CARLOS","ISAIAS","LOPEZ","VIELMA","UYC",0
"9523",20183,"2007","CARLOS","ISAIAS","LOPEZ","VIELMA","UYC",0
"9524",20183,"2008","PABLO","BILIULFO","LOPEZ","FAUSTO","UYC",0
"9525",20183,"2009","PABLO","BILIULFO","LOPEZ","FAUSTO","UYC",0
"9526",20183,"2010","PABLO","BILIULFO","LOPEZ","FAUSTO","UYC",0
"9527",20183,"2011","TOMAS","JESUS","GONZALEZ","FAUSTO","UYC",0
"9528",20183,"2012","TOMAS","JESUS","GONZALEZ","FAUSTO","UYC",0
"9529",20183,"2013","SANTIAGO","RAMIRO "," LÓPEZ"," CORTÉS","UYC",0
"9530",20184,"2006","SALVADOR","SANTOS","SIERRA"," CORTÉS","PRD",0
"9531",20184,"2007","SALVADOR","SANTOS","SIERRA"," CORTÉS","PRD",0
"9532",20184,"2008","GUSTAVO","PACHECO","VILLASEÑOR"," CORTÉS","PRI",0
"9533",20184,"2009","GUSTAVO","PACHECO","VILLASEÑOR"," CORTÉS","PRI",0
